a	a:
fæðingarorlofs	f ai: D i N k a r O r l O f s
fæðingu	f ai: D i N k Y
fæðist	f ai: D I s t
fæðst	f ai D s t
fæðubótarefna	f ai: D Y p ou t a r E p n a
fæðubótarefni	f ai: D Y p ou t a r E p n I
fé	f j E:
fékk	f j E h k
fékkst	f j E h k s t
fékkstu	f j E h k s t Y
félag	f j E: l a G
félaga	f j E: l a G a
félaganna	f j E: l a G a n a
félagar	f j E: l a G a r
félagarnir	f j E: l a G a r t n I r
félagasamtaka	f j E: l a G a s a m t_h a k a
félagasamtök	f j E: l a G a s a m t_h 9 k
félagasamtökum	f j E: l a G a s a m t_h 9 k Y m
félagaskiptaglugginn	f j E: l a G a s c I f t a k l Y c I n
félagaskipti	f j E: l a G a s c I f t I
félagi	f j E: l ai j I
félagins	f j E: l a x I n s
félaginu	f j E: l ai j I n Y
félagið	f j E: l ai j I D
félags	f j E: l a x s
félagsgjöld	f j E: l a x s c 9 l t
félagsheimili	f j E: l a x s h ei m I l I
félagsheimilinu	f j E: l a x s h ei m I l I n Y
félagsins	f j E: l a x s I n s
félagsleg	f j E: l a x s t l E G
félagslega	f j E: l a x s t l E G a
félagslegar	f j E: l a x s t l E G a r
félagslegra	f j E: l a x s t l E G r a
félagslegri	f j E: l a x s t l E G r I
félagslegt	f j E: l a x s t l E x t
félagslegu	f j E: l a x s t l E G Y
félagslegum	f j E: l a x s t l E G Y m
félagsliða	f j E: l a x s t l I D a
félagslynd	f j E: l a x s t l I n t
félagslyndur	f j E: l a x s t l I n t Y r
félagsmanna	f j E: l a x s m a n a
félagsmenn	f j E: l a x s m E n
félagsmiðstöð	f j E: l a x s m I D s t 9 D
félagsmiðstöðinni	f j E: l a x s m I D s t 9 D I n I
félagsmiðstöðva	f j E: l a x s m I D s t 9 D v a
félagsmálaráðherra	f j E: l a x s m au l a r au T h E r a
félagsmálastofnun	f j E: l a x s m au l a s t O p n Y n
félagsmálum	f j E: l a x s m au l Y m
félagsmönnum	f j E: l a x s m 9 n Y m
félagsráðgjafa	f j E: l a x s r au D c a v a
félagsráðgjafi	f j E: l a x s r au D c a v I
félagsskap	f j E: l a x s k a p
félagsskapar	f j E: l a x s k a p a r
félagsskapur	f j E: l a x s k a p Y r
félagsstarf	f j E: l a x s t a r f
félagsstarfi	f j E: l a x s t a r v I
félagsstarfinu	f j E: l a x s t a r v I n Y
félagsstarfið	f j E: l a x s t a r v I D
félagsvist	f j E: l a x s v I s t
félagsþjónustu	f j E: l a x s T j ou n Y s t Y
féll	f j E t l_0
félli	f j E t l I
féllst	f j E l s t
féllu	f j E t l Y
féllust	f j E t l Y s t
félög	f j E: l 9 G
félögin	f j E: l 9i j I n
félögum	f j E: l 9 G Y m
félögunum	f j E: l 9 G O n Y m
fénu	f j E: n Y
févíti	f j E: v i t I
féð	f j E: D
fífl	f i p l_0
fíflalæti	f i p l a l ai t I
fífldirfsku	f i p l t I r v s k Y
fíflin	f i p l I n
fíflinu	f i p l I n Y
fíflum	f i p l Y m
fíkjur	f i: c Y r
fíkjutré	f i: c Y t_h r j E
fíkn	f i h k n_0
fíkniefna	f i h k n I E p n a
fíkniefnabrot	f i h k n I E p n a p r O t
fíkniefnalagabrot	f i h k n I E p n a l a G a p r O t
fíkniefnamál	f i h k n I E p n a m au l
fíkniefnamálum	f i h k n I E p n a m au l Y m
fíkniefnaneyslu	f i h k n I E p n a n ei s t l Y
fíkniefnaneytendur	f i h k n I E p n a n ei t E n t Y r
fíkniefni	f i h k n I E p n I
fíkniefnin	f i h k n I E p n I n
fíkniefnum	f i h k n I E p n Y m
fín	f i: n
fína	f i: n a
fínan	f i: n a n
fínar	f i: n a r
fínasta	f i: n a s t a
fíngerðum	f i J c E r D Y m
fíngerður	f i J c E r D Y r
fínir	f i: n I r
fínlegu	f i n l E G Y
fínn	f i t n_0
fínni	f i t n I
fínt	f i n_0 t
fínu	f i: n Y
fínum	f i: n Y m
fís	f i: s
fógeti	f ou: c E t I
fókus	f ou: k Y s
fól	f ou: l
fólgin	f ou l c I n
fólginn	f ou l c I n
fólgið	f ou l c I D
fólgnar	f ou l n a r
fólgnir	f ou l n I r
fólk	f ou l_0 k
fólki	f ou l_0 c I
fólkinu	f ou l_0 c I n Y
fólkið	f ou l_0 c I D
fólks	f ou l_0 k s
fólksbifreið	f ou l_0 k s p I v r ei D
fólksbíla	f ou l_0 k s p i l a
fólksbílar	f ou l_0 k s p i l a r
fólksfjölgun	f ou l_0 k s f j 9 l k Y n
fólksflutninga	f ou l_0 k s f l Y h t n i N k a
fólksins	f ou l_0 k s I n s
fólst	f ou l s t
fólu	f ou: l Y
fólust	f ou: l Y s t
fór	f ou: r
fórn	f ou r t n_0
fórna	f ou r t n a
fórnar	f ou r t n a r
fórnarlamb	f ou r t n a r l a m p
fórnarlamba	f ou r t n a r l a m p a
fórnarlambið	f ou r t n a r l a m p I D
fórnarlambsins	f ou r t n a r l a m p s I n s
fórnarlömb	f ou r t n a r l 9 m p
fórnarlömbin	f ou r t n a r l 9 m p I n
fórnarlömbum	f ou r t n a r l 9 m p Y m
fórnað	f ou r t n a D
fórnaði	f ou r t n a D I
fórst	f ou r_0 s t
fórstu	f ou r_0 s t Y
fóru	f ou: r Y
fórum	f ou: r Y m
fórust	f ou: r Y s t
fóstri	f ou s t r I
fóstur	f ou s t Y r
fóstureyðingar	f ou s t Y r ei D i N k a r
fót	f ou: t
fóta	f ou: t a
fótanudd	f ou: t a n Y t
fótbolta	f ou t p O l_0 t a
fótboltamyndir	f ou t p O l_0 t a m I n t I r
fótboltann	f ou: t p O l_0 t a n
fótboltanum	f ou: t p O l_0 t a n Y m
fótbolti	f ou t p O l_0 t I
fótboltinn	f ou t p O l_0 t I n
fótfestu	f ou: t f E s t Y
fótinn	f ou: t I n
fótlegg	f ou t l E k
fótleggjum	f ou: t l E c Y m
fótspor	f ou: t s p O r
fótum	f ou: t Y m
fótunum	f ou: t O n Y m
fótur	f ou: t Y r
fóður	f ou: D Y r
föggum	f 9 k Y m
fögnum	f 9 k n Y m
fögnuð	f 9 k n Y D
fögnuðu	f 9 k n Y D Y
fögru	f 9 G r Y
fögruhlíð	f 9 G r Y l_0 i D
fögrum	f 9 G r Y m
fögur	f 9: G Y r
föl	f 9: l
fölleitur	f 9 l ei t Y r
föllnu	f 9 t l n Y
föllum	f 9 t l Y m
fölnaði	f 9 l n a D I
fölsku	f 9 l s k Y
fölsuð	f 9 l s Y D
fölur	f 9: l Y r
föndra	f 9 n t r a
föndur	f 9 n t Y r
föngnum	f 9i N n Y m
fönguleg	f 9i N k Y l E G
föngum	f 9i N k Y m
föngunum	f 9i N k O n Y m
fönguðu	f 9i N k Y D Y
fönix	f 9: n I k s
för	f 9: r
förum	f 9: r Y m
förðun	f 9 r D Y n
föst	f 9 s t
föstu	f 9 s t Y
föstudag	f 9 s t Y t a G
föstudaga	f 9 s t Y t a G a
föstudaginn	f 9 s t Y t ai j I n
föstudags	f 9 s t Y t a x s
föstudagsins	f 9 s t Y t a x s I n s
föstudagskvöld	f 9 s t Y t a x s k_h v 9 l t
föstudagskvöldið	f 9 s t Y t a x s k_h v 9 l t I D
föstudagskvöldum	f 9 s t Y t a x s k_h v 9 l t Y m
föstudagur	f 9 s t Y t a G Y r
föstudeginum	f 9 s t Y t ei j I n Y m
föstudögum	f 9 s t Y t 9 G Y m
föstum	f 9 s t Y m
föt	f 9: t
fötin	f 9: t I n
fötlun	f 9 h t l Y n
fötluðum	f 9 h t l Y D Y m
fötum	f 9: t Y m
fötunum	f 9: t O n Y m
föður	f 9: D Y r
föðurbróðir	f 9: D Y r_0 p r ou D I r
föðurbróður	f 9: D Y r p r ou D Y r
föðurlandsins	f 9: D Y r l a n t s I n s
föðurnafn	f 9: D Y r n a p n_0
föðursystir	f 9: D Y r_0 s I s t I r
föðursystur	f 9: D Y r_0 s I s t Y r
fúkkalyfjunum	f u h k a l I v j O n Y m
fúll	f u t l_0
fúlt	f u l_0 t
fús	f u: s
fúslega	f u s t l E G a
fýlusvip	f i: l Y s v I p
fýsn	f i s t n
g	c E:
gaal	k a: l
gabb	k a p
gabba	k a p a
gabriel	k ei: p r i E l
gabriella	k a p r i E l a
gaddafi	k a t a f i
gaddakylfu	k a t a c_h I l v Y
gaf	k a: v
gaffal	k a f a l
gaffalinn	k a f a l I n
gaffall	k a f a t l_0
gaffals	k a f a l s
gaffli	k a f l I
gafflinum	k a f l I n Y m
gafla	k a p l a
gaflinum	k a p l I n Y m
gafst	k a f s t
gaga	k a: k a
gaggaði	k a k a D I
gagn	k a k n_0
gagna	k a k n a
gagnabanka	k a k n a p au N_0 k a
gagnadulkóðun	k a k n a t Y l k_h ou D Y n
gagnaflutninga	k a k n a f l Y h t n i N k a
gagnagrunn	k a k n a k r Y n
gagnagrunni	k a k n a k r Y n I
gagnagrunninn	k a k n a k r Y n I n
gagnagrunnstækni	k a k n a k r Y n s t_h ai h k n I
gagnagrunnum	k a k n a k r Y n Y m
gagnagrunnur	k a k n a k r Y n Y r
gagnasafni	k a k n a s a p n I
gagnasafnskerfis	k a k n a s a p n_0 s c_h E r v I s
gagnaskráningarkerfi	k a k n a s k r au n i N k a r_0 c E r v I
gagnast	k a k n a s t
gagnasöfnum	k a k n a s 9 p n Y m
gagnaver	k a k n a v E r
gagnaöflun	k a k n a 9 p l Y n
gagnfræðaskóla	k a k n_0 f r ai D a s k ou l a
gagnfræðaskólanum	k a k n_0 f r ai D a s k ou l a n Y m
gagngerar	k a c E r a r
gagngert	k a c E r_0 t
gagni	k a k n I
gagnist	k a k n I s t
gagnið	k a k n I D
gagnkvæm	k a k_h v ai m
gagnkvæmar	k a k_h v ai m a r
gagnkvæmri	k a k_h v ai m r I
gagnkvæmt	k a k_h v ai m_0 t
gagnkvæmum	k a k_h v ai m Y m
gagnkynhneigðra	k a k c_h I n n_0 ei G D r a
gagnlegt	k a k l E x t
gagnrýna	k a k r i n a
gagnrýnandi	k a k r i n a n t I
gagnrýnd	k a k r i n t
gagnrýndi	k a k r i n t I
gagnrýndu	k a k r i n t Y
gagnrýndur	k a k r i n t Y r
gagnrýnenda	k a k r i n E n t a
gagnrýnendur	k a k n_0 r i n E n t Y r
gagnrýni	k a k r i n I
gagnrýnin	k a k r i n I n
gagnrýnir	k a k r i n I r
gagnrýnisraddir	k a k r i n I s r a t I r
gagnrýnni	k a k r i t n I
gagnrýnt	k a k r i n_0 t
gagns	k a k n_0 s
gagnsemi	k a k s E m I
gagnslaust	k a k n_0 s t l 9i s t
gagnstefnanda	k a k n_0 s t E p n a n t a
gagnstefnandi	k a k n_0 s t E p n a n t I
gagnstefnendur	k a k n_0 s t E p n E n t Y r
gagnstætt	k a k n_0 s t ai h t
gagnstæða	k a k n_0 s t ai D a
gagnsæ	k a k n_0 s ai
gagnsök	k a k n_0 s 9 k
gagntaka	k a k t_h a k a
gagnvirkt	k a k v I r_0 t
gagnáfrýjanda	k a k n au f r i j a n t a
gagnáfrýjandi	k a k n au f r i j a n t I
gakk	k a h k
gakktu	k a x t Y
gal	k a: l
gala	k a: l a
galakvöld	k a: l a k_h v 9 l t
galatasaray	k a: l a t a s a r ai
galaxy	k a: l a k s i
galdrahyskinu	k a l t r a h I s c I n Y
galdur	k a l t Y r
galdurinn	k a l t Y r I n
galið	k a: l I D
gall	k a t l_0
galla	k a l a
gallabuxum	k a l a p Y k s Y m
gallabuxur	k a l a p Y k s Y r
gallabuxurnar	k a l a p Y k s Y r t n a r
gallajökkum	k a l a j 9 h k Y m
gallalaus	k a t l a l 9i s
gallann	k a t l a n
gallanum	k a l a n Y m
gallar	k a l a r
gallarnir	k a t l a r t n I r
gallerí	k a l E r i
galleríi	k a l E r i I
galleríið	k a l E r i j I D
gallerís	k a l E r i s
gallganga	k a t l_0 k au N k a
gallharður	k a t l_0 h a r D Y r
galli	k a l I
gallinn	k a t l I n
gallsteinabriskirtilsbólgu	k a t l_0 s t ei n a p r I s c_h I r_0 t I l s p ou l k Y
gallstíflunni	k a t l s t i p l Y n I
gallup	k a l u p
gallups	k a l u p s
galopnum	k a: l O h p n Y m
galt	k a l_0 t
galtómur	k a l t_h ou m Y r
galílea	k a: l i l E a
gamaldags	k a: m a l t a x s
gamalkunna	k a: m a l k_h Y n a
gamall	k a: m a t l_0
gamalla	k a: m a t l a
gamalli	k a: m a t l I
gamals	k a: m a l s
gamalt	k a: m a l_0 t
gaman	k a: m a n
gamanleikrit	k a: m a n l ei k r I t
gamanmyndaflokkur	k a: m a n m I n t a f l O h k Y r
gamans	k a: m a n s
gamanþáttaröð	k a: m a n T au h t a r 9 D
game	k ei: m
games	k ei: m s
gamla	k a m l a
gamlan	k a m l a n
gamlar	k a m l a r
gamli	k a m l I
gamlir	k a m l I r
gamlársdag	k a m l au r_0 s t a G
gamlárskvöld	k a m l au r_0 s k_h v 9 l t
gamma	k a m a
gammanorm	k a m a n O r m
gammar	k a m a r
gamminn	k a m I n
gamni	k a m n I
gana	k a: n a
gang	k au N k
ganga	k au N k a
gangan	k au N k a n
gangandi	k au N k a n t I
ganganna	k au N k a n a
gangar	k au N k a r
gangast	k au N k a s t
gangbraut	k au N k p r 9i t
gangbrautarvarsla	k au N k p r 9i t a r v a r_0 s t l a
gangfær	k au N k f ai r
gangi	k au J c I
ganginn	k au J c I n
ganginum	k au J c I n Y m
gangir	k au J c I r
gangs	k au N s
gangsett	k au N s E h t
gangstétt	k au N s t j E h t
gangstéttina	k au N s t j E h t I n a
gangstéttinni	k au N s t j E h t I n I
gangstéttir	k au N s t j E h t I r
gangstéttum	k au N s t j E h t Y m
gangstéttunum	k au N k s t j E h t O n Y m
gangur	k au N k Y r
gantaðist	k a n_0 t a D I s t
gapandi	k a: p a n t I
gardínur	k a r t i n Y r
gareth	k a r E T
garg	k a r k
gargi	k a r c I
garn	k a r t n_0
garner	k a r n E r
garnmör	k a r t n m 9 r
garp	k a r_0 p
garpur	k a r_0 p Y r
gary	k a: r i
garð	k a r D
garðabæ	k a r D a p ai
garðabæjar	k a r D a p ai j a r
garðabænum	k a r D a p ai n Y m
garðabær	k a r D a p ai r
garðahringsins	k a r D a r_0 i N s I n s
garðakirkju	k a r D a c_h I r_0 c Y
garðar	k a r D a r
garðars	k a r D a r_0 s
garðarsdóttir	k a r D a r_0 s t ou h t I r
garðarsdóttur	k a r D a r_0 s t ou h t Y r
garðarsson	k a r D a r_0 s O n
garðarssonar	k a r D a r_0 s O n a r
garðarssyni	k a r D a r_0 s I n I
garði	k a r D I
garðinn	k a r D I n
garðinum	k a r D I n Y m
garðrækt	k a r D r ai x t
garðs	k a r T s
garðsins	k a r D s I n s
garður	k a r D Y r
garðurinn	k a r D Y r I n
garðvegi	k a r D v ei j I
garðyrkja	k a r D I r_0 c a
garðyrkjuskólann	k a r D I r_0 c Y s k ou l a n
garðyrkjustjóri	k a r D I r_0 c Y s t j ou r I
gas	k a: s
gasi	k a: s I
gasjöfnunina	k a: s j 9 p n Y n I n a
gasklösunum	k a: s k_h l 9 s O n Y m
gasolía	k a: s O l i j a
gast	k a s t
gat	k a: t
gata	k a: t a
gate	c ei: t
gates	c ei t s
gatnamót	k a h t n a m ou t
gatnamótin	k a h t n a m ou t I n
gatnamótum	k a h t n a m ou t Y m
gatnanna	k a h t n a n a
gauknum	k 9i h k n Y m
gaum	k 9i: m
gaumgæfilega	k 9i m c ai v I l E G a
gaumur	k 9i: m Y r
gaupnir	k 9i h p n I r
gaur	k 9i: r
gauragangi	k 9i: r a k au J c I
gauta	k 9i: t a
gautaborg	k 9i: t a p O r k
gauti	k 9i: t I
gautur	k 9i: t Y r
gave	c ei: v
gay	c ei:
gaza	k a: s a
gees	t j i: s
gef	c E: v
gefa	c E: v a
gefandi	c E: v a n t I
gefast	c E: v a s t
gefi	c E: v I
gefin	c E: v I n
gefist	c E: v I s t
gefið	c E: v I D
gefnar	c E p n a r
gefnir	c E p n I r
gefnu	c E p n Y
gefnum	c E p n Y m
gefst	c E f s t
gefum	c E: v Y m
gefur	c E: v Y r
gefðu	c E v D Y
geggjað	c E c a D
geggjaður	c E c a D Y r
geggjuð	c E c Y D
gegn	c E k n_0
gegna	c E k n a
gegndrepa	c E k t r E p a
gegnheil	c E k n_0 h ei l
gegni	c E k n I
gegnir	c E k n I r
gegnsæi	c E k n_0 s ai I
gegnsær	c E k n_0 s ai r
gegnsósa	c E k n_0 s ou s a
gegnt	c ei N_0 t
gegnum	c E k n Y m
gegnumbrot	c E k n Y m p r O t
gegnumgangandi	c E k n Y m k au N k a n t I
geigar	c ei: G a r
geilinni	c ei: l I n I
geimfar	c ei m f a r
geimferðin	c ei m f E r D I n
geimflaugar	c ei: m f l 9i G a r
geiminn	c ei: m I n
geimverur	c ei m v E r Y r
geimverurnar	c ei m v E r Y r t n a r
geir	c ei: r
geira	c ei: r a
geirfinn	c ei r f I n
geirfinni	c ei r_0 f I n I
geirfugl	c ei r_0 f Y k l_0
geirharðsdóttir	c ei r h a r D s t ou h t I r
geiri	c ei: r I
geirmundur	c ei r m Y n t Y r
geirs	c ei r_0 s
geirsdóttir	c ei r_0 s t ou h t I r
geirsson	c ei r_0 s O n
geirssonar	c ei r_0 s O n a r
geirvörtuna	c ei r v 9 r_0 t Y n a
geirvörtur	c ei r v 9 r_0 t Y r
geisa	c ei: s a
geisar	c ei: s a r
geisað	c ei: s a D
geisaði	c ei: s a D I
geisla	c ei s t l a
geislabaugur	c ei s t l a p 9i G Y r
geislabelti	c ei s t l a p E l_0 t I
geisladisk	c ei s t l a t I s k
geisladiska	c ei s t l a t I s k a
geisladiskar	c ei s t l a t I s k a r
geisladiski	c ei s t l a t I s c I
geisladiskum	c ei s t l a t I s k Y m
geisladiskur	c ei s t l a t I s k Y r
geisladrifið	c ei s t l a t r I v I D
geislafræðingarnir	c ei s t l a f r ai D i N k a r t n I r
geislameðferð	c ei s t l a m E D f E r D
geislanum	c ei s t l a n Y m
geislaplötu	c ei s t l a p_h l 9 t Y
geislar	c ei s t l a r
geislarnir	c ei s t l a r t n I r
geislaskammts	c ei s t l a s k a m_0 t s
geislaspilaranum	c ei s t l a s p I l a r a n Y m
geislavirks	c ei s t l a v I r_0 k s
geislaði	c ei s t l a D I
geisli	c ei s t l I
geislum	c ei s t l Y m
geispaði	c ei s p a D I
geitungaofsóknum	c ei: t u N k a O f s ou h k n Y m
gekk	c E h k
gekkst	c E h k s t
gel	c E: l
gelbyssum	c E l p I s Y m
gelda	c E l t a
geldan	c E l t a n
geldneytum	c E l t n ei t Y m
gellur	c E l Y r
gelt	c E l_0 t
gelta	c E l_0 t a
gelti	c E l_0 t I
gemsann	c E m s a n
gemsinn	c E m s I n
gen	c E: n
genamengi	c E: n a m ei J c I
gender	t j E n t E r
general	c E: n E r a l
generally	t j E n E r a l i
generation	t j E n E r ei s j O n
genf	c E n f
geng	c ei N k
gengdarlausa	c ei N t a r l 9i s a
gengi	c ei J c I
gengin	c ei J c I n
genginn	c ei J c I n
genginu	c ei J c I n Y
gengisbreytinga	c ei J c I s p r ei t i N k a
gengishagnaður	c ei J c I s h a k n a D Y r
gengisins	c ei J c I s I n s
gengiskráningarvog	c ei J c I s k r au n i N k a r v O x
gengislækkun	c ei J c I s t l ai h k Y n
gengislækkunar	c ei J c I s t l ai h k Y n a r
gengislækkunin	c ei J c I s t l ai h k Y n I n
gengismunur	c ei J c I s m Y n Y r
gengist	c ei J c I s t
gengistap	c ei J c I s t_h a p
gengistapi	c ei J c I s t_h a p I
gengistryggingu	c ei J c I s t_h r I c i N k Y
gengisvísitalan	c ei J c I s v i s I t_h a l a n
gengisþróun	c ei J c I s T r ou Y n
gengisþróunar	c ei J c I s T r ou Y n a r
gengið	c ei J c I D
gengju	c ei J c Y
gengjum	c ei J c Y m
gengjur	c ei J c Y r
gengnum	c ei N n Y m
gengst	c ei N s t
gengt	c ei N_0 t
gengu	c ei N k Y
gengum	c ei N k Y m
gengur	c ei N k Y r
gengurðu	c ei N k Y r D Y
gengust	c ei N k Y s t
genius	t j i: n i j Y s
genið	c E: n I D
genk	c E N_0 k
genoa	c E: n O a
gentle	t j E n_0 t u l
georg	c E: O r k
george	t j O r t s
georgs	c E: O r k s
georgsson	c E: O r k s O n
georgíu	c E: O r c i j Y
ger	c E: r
gera	c E: r a
gerald	c E: r a l t
gerandinn	c E: r a n t I n
gerard	c E: r a r t
gerast	c E: r a s t
gerbreytt	c E r p r ei h t
gerdeig	c E r t ei G
gerendur	c E: r E n t Y r
gereyðilagt	c E: r ei D I l a x t
geri	c E: r I
gerir	c E: r I r
gerist	c E: r I s t
gerið	c E: r I D
gerjun	c E r j Y n
gerjunarhæfni	c E r j Y n a r_0 h ai p n I
gerlasmit	c E r t l a s m I t
gerlegt	c E r t l E x t
german	t j 9 r m a n
germany	t j 9 r m a n i
gerpla	c E r_0 p l a
gerplu	c E r_0 p l Y
gerrard	t j E r a r t
gerræði	c E r ai D I
gersamlega	c E r_0 s a m l E G a
gersemar	c E r_0 s E m a r
gerst	c E r_0 s t
gert	c E r_0 t
gerum	c E: r Y m
gervalla	c E r v a t l a
gervi	c E r v I
gervigras	c E r v I k r a s
gervigreind	c E r v I k r ei n t
gervitungl	c E r v I t_h u N l
gerð	c E r D
gerða	c E r D a
gerðahreppi	c E r D a r_0 E h p I
gerðahreppur	c E r D a r_0 E h p Y r
gerðar	c E r D a r
gerðarbeiðanda	c E r D a r_0 p ei D a n t a
gerðarbeiðandi	c E r D a r p ei D a n t I
gerðarsafn	c E r D a r_0 s a p n_0
gerðarsafni	c E r D a r_0 s a p n I
gerðarþola	c E r D a r_0 T O l a
gerðarþoli	c E r D a r_0 T O l I
gerði	c E r D I
gerðinni	c E r D I n I
gerðir	c E r D I r
gerðirðu	c E r D I r D Y
gerðist	c E r D I s t
gerðu	c E r D Y
gerðubergs	c E r D Y p E r k s
gerðum	c E r D Y m
gerður	c E r D Y r
gerðust	c E r D Y s t
gerðuð	c E r D Y D
gesta	c E s t a
gestafyrirlesari	c E s t a f I r I r l E s a r I
gestafyrirlestur	c E s t a f I r I r l E s t Y r
gestagangur	c E s t a k au N k Y r
gestaherbergi	c E s t a h E r p E r c I
gestaherberginu	c E s t a h E r p E r c I n Y
gestanna	c E s t a n a
gestasöngvari	c E s t a s 9i N k v a r I
gestgjafann	c E s t c a v a n
gestgjafi	c E s t c a v I
gestgjafinn	c E s t c a v I n
gesti	c E s t I
gestina	c E s t I n a
gestir	c E s t I r
gestirnir	c E s t I r t n I r
gestkomandi	c E s t k_h O m a n t I
gestrisni	c E s t r I s t n I
gests	c E s t s
gestsdóttir	c E s t s t ou h t I r
gestsdóttur	c E s t s t ou h t Y r
gestsins	c E s t s I n s
gestsson	c E s t s O n
gestum	c E s t Y m
gestunum	c E s t O n Y m
gestur	c E s t Y r
gesturinn	c E s t Y r I n
get	c E: t
geta	c E: t a
getafe	c E: t a f E
getað	c E: t a D
geti	c E: t I
getið	c E: t I D
getnaðarlim	c E h t n a D a r l I m
getnaðarvörn	c E h t n a D a r v 9 r t n_0
getraunaleikur	c E: t r 9i n a l ei k Y r
gets	c E t s
getting	c E h t i N
getty	c E h t i
getu	c E: t Y
getuleysi	c E: t Y l ei s I
getum	c E: t Y m
getur	c E: t Y r
geturðu	c E: t Y r D Y
geyma	c ei: m a
geymd	c ei m t
geymdar	c ei m t a r
geymi	c ei: m I
geymir	c ei: m I r
geymsla	c ei m s t l a
geymslu	c ei m s t l Y
geymsluaðstæðna	c ei m s t l Y a D s t ai D n a
geymslum	c ei m s t l Y m
geymslur	c ei m s t l Y r
geymslurými	c ei m s t l Y r i m I
geymt	c ei m_0 t
geysi	c ei: s I
geysilega	c ei: s I l E G a
geysir	c ei: s I r
geysis	c ei: s I s
geysiskemmtilegum	c ei: s I s c E m_0 t I l E G Y m
geysistór	c ei: s I s t ou r
geð	c E: D
geðdeild	c E D t ei l t
geðheilsu	c E D h ei l s Y
geðhjálp	c E D C au l_0 p
geðhjálpar	c E D C au l_0 p a r
geði	c E: D I
geðið	c E: D I D
geðjaðist	c E D j a D I s t
geðklofa	c E D k_h l O v a
geðklofasjúklings	c E D k_h l O v a s j u h k l i N s
geðlækni	c E D l ai h k n I
geðlæknir	c E D l ai h k n I r
geðlæknis	c E D l ai h k n I s
geðraskanir	c E D r a s k a n I r
geðs	c E D s
geðsjúkdóma	c E D s j u k t ou m a
geðsjúkra	c E D s j u k r a
geðveiki	c E D v ei c I
geðveikrahælinu	c E D v ei k r a h ai l I n Y
geðveikur	c E D v ei k Y r
geðþótta	c E T ou h t a
ghosts	k ou s t s
giant	t j ai: a n_0 t
gibson	c I p s O n
gifs	c I f s
gifspússningu	c I f s p_h u s t n i N k Y
gifst	c I f s t
gifsveggi	c I f s v E c I
gift	c I f t
gifta	c I f t a
giftast	c I f t a s t
gifti	c I f t I
giftingar	c I f t i N k a r
giftingu	c I f t i N k Y
giftinguna	c I f t i N k Y n a
giftir	c I f t I r
giftist	c I f t I s t
giftu	c I f t Y
giftum	c I f t Y m
giftur	c I f t Y r
giggs	c I k s
gigt	c I x t
gigtarfélag	c I x t a r_0 f j E l a G
gigtarfélagið	c I x t a r_0 f j E l ai j I D
gigtarlínan	c I x t a r l i n a n
gigtarsjúkdóma	c I x t a r_0 s j u k t ou m a
gigtarsjúkdómum	c I x t a r_0 s j u k t ou m Y m
gigtarsjúklingum	c I x t a r_0 s j u h k l i N k Y m
gigtsjúkdóma	c I x t s j u k t ou m a
gikkinn	c I h c I n
gil	c I: l
gilbert	c I l p E r_0 t
gild	c I l t
gilda	c I l t a
gildandi	c I l t a n t I
gildi	c I l t I
gildir	c I l t I r
gildissvið	c I l t I s v I D
gildistíma	c I l t I s t_h i m a
gildistöku	c I l t I s t_h 9 k Y
gildum	c I l t Y m
gildur	c I l t Y r
gilhagi	c I l h ai j I
gilitrutt	c I: l I t_h r Y h t
gilt	c I l_0 t
gilti	c I l_0 t I
giltu	c I l_0 t Y
gimsteinn	c I m s t ei t n_0
ginnungagap	c I n u N k a k a p
girl	k 9 r l
girls	k 9 r l s
giroud	s j I r ou
girt	c I r_0 t
girða	c I r D a
girðing	c I r D i N k
girðingar	c I r D i N k a r
girðingu	c I r D i N k Y
girðingunni	c I r D i N k Y n I
giska	c I s k a
gissur	c I s Y r
gissurardóttur	c I s Y r a r t ou h t Y r
gissurarson	c I s Y r a r_0 s O n
gist	c I s t
gista	c I s t a
gisti	c I s t I
gistiheimili	c I s t I h ei m I l I
gistihús	c I s t I h u s
gistinefndin	c I s t I n E m t I n
gisting	c I s t i N k
gistingu	c I s t i N k Y
gistinætur	c I s t I n ai t Y r
gistinóttum	c I s t I n ou h t Y m
gististað	c I s t I s t a D
gistu	c I s t Y
give	c I v
given	c I v E n
gives	c I v s
giving	c I v i N
gizurarson	c I: s Y r a r_0 s O n
gjafabréf	c a: v a p r j E f
gjafir	c a: v I r
gjafirnar	c a: v I r t n a r
gjaforð	c a: v O r D
gjafsókn	c a f s ou h k n
gjafsóknarkostnaður	c a f s ou h k n a r_0 k_h O s t n a D Y r
gjafvaxta	c a v a k s t a
gjald	c a l t
gjalda	c a l t a
gjaldahlið	c a l t a l_0 I D
gjalddaga	c a l t a G a
gjalddagi	c a l t ai j I
gjalddögum	c a l t 9 G Y m
gjaldeyri	c a l t ei r I
gjaldeyris	c a l t ei r I s
