a	aː
hatri	h aː t r ɪ
hatrið	h aː t r ɪ ð
hatt	h a h t
hatta	h a h t a
hattar	h a h t a r
hatti	h a h t ɪ
hattinn	h a h t ɪ n
hattinum	h a h t ɪ n ʏ m
hattur	h a h t ʏ r
hatur	h aː t ʏ r
haughúss	h œy ɣ h u s
hauk	h œyː k
hauka	h œyː k a
haukadal	h œyː k a t a l
haukar	h œyː k a r
haukarnir	h œyː k a r t n ɪ r
haukdal	h œy k t a l
hauki	h œyː c ɪ
hauks	h œy k s
hauksdóttir	h œy k s t ou h t ɪ r
hauksdóttur	h œy k s t ou h t ʏ r
hauksson	h œy k s ɔ n
haukssonar	h œy k s ɔ n a r
haukssyni	h œy k s ɪ n ɪ
haukum	h œyː k ʏ m
haukur	h œyː k ʏ r
haus	h œyː s
hausamótunum	h œyː s a m ou t ɔ n ʏ m
hausarnir	h œyː s a r t n ɪ r
hausinn	h œyː s ɪ n
hausnum	h œy s t n ʏ m
haust	h œy s t
hausta	h œy s t a
haustdögum	h œy s t œ ɣ ʏ m
haustfundur	h œy s t f ʏ n t ʏ r
hausti	h œy s t ɪ
haustin	h œy s t ɪ n
haustinu	h œy s t ɪ n ʏ
haustið	h œy s t ɪ ð
haustmyrkurs	h œy s t m ɪ r̥ k ʏ r̥ s
haustmánuðum	h œy s t m au n ʏ ð ʏ m
hausts	h œy s t s
haustsins	h œy s t s ɪ n s
haustskrúða	h œy s t s k r u ð a
haustþingi	h œy s t θ i ɲ c ɪ
have	h ɛ v
hawks	h ɔː k s
hawthorns	h ɔː f θ ɔ r n s
hazard	h aː s a r t
haítí	h aː i t i
he's	h iː s
head	h ɛ t
heading	h ɛ t i ŋ
heads	h ɛ t s
headspace	h ɛ t s p ei s
health	h ɛ l θ
healthcare	h ɛ l θ cʰ ɛ r
healthy	h ɛ l θ i
hear	h iː r
heard	h œ r t
heart	h a r̥ t
hearts	h a r̥ t s
heat	h iː t
heather	h ɛ ð ɛ r
heaven	h ɛ v ɛ n
heavy	h ɛ v i
heba	h ɛː p a
hebba	h ɛ p a
heerenveen	h ɛː r ɛ n v ɛ n
hef	h ɛː v
hefi	h ɛː v ɪ
hefir	h ɛː v ɪ r
hefja	h ɛ v j a
hefjast	h ɛ v j a s t
hefji	h ɛ v j ɪ
hefjist	h ɛ v j ɪ s t
hefna	h ɛ p n a
hefnast	h ɛ p n a s t
hefnd	h ɛ m t
hefnda	h ɛ m t a
hefndar	h ɛ m t a r
hefndarskyni	h ɛ m t a r̥ s c ɪ n ɪ
hefndin	h ɛ m t ɪ n
hefndum	h ɛ m t ʏ m
hefst	h ɛ f s t
heft	h ɛ f t
hefta	h ɛ f t a
hefti	h ɛ f t ɪ
heftin	h ɛ f t ɪ n
hefur	h ɛː v ʏ r
hefurðu	h ɛː v ʏ r ð ʏ
hefð	h ɛ v ð
hefðbundin	h ɛ v p ʏ n t ɪ n
hefðbundinn	h ɛ v p ʏ n t ɪ n
hefðbundinna	h ɛ v p ʏ n t ɪ n a
hefðbundinnar	h ɛ v p ʏ n t ɪ n a r
hefðbundinni	h ɛ v p ʏ n t ɪ n ɪ
hefðbundins	h ɛ v p ʏ n t ɪ n s
hefðbundið	h ɛ v p ʏ n t ɪ ð
hefðbundna	h ɛ v p ʏ n t n a
hefðbundnar	h ɛ v p ʏ n t n a r
hefðbundnir	h ɛ v p ʏ n t n ɪ r
hefðbundnu	h ɛ v p ʏ n t n ʏ
hefðbundnum	h ɛ v p ʏ n t n ʏ m
hefði	h ɛ v ð ɪ
hefðin	h ɛ v ð ɪ n
hefðir	h ɛ v ð ɪ r
hefðu	h ɛ v ð ʏ
hefðum	h ɛ v ð ʏ m
hegg	h ɛ k
heggur	h ɛ k ʏ r
hegningarauki	h ɛ k n i ŋ k a r œy c ɪ
hegningarlaga	h ɛ k n i ŋ k a r l a ɣ a
hegningarlagabrot	h ɛ k n i ŋ k a r l a ɣ a p r ɔ t
hegningarlög	h ɛ k n i ŋ k a r l œ ɣ
hegningarlögum	h ɛ k n i ŋ k a r l œ ɣ ʏ m
hegranesþing	h ɛ ɣ r a n ɛ s θ i ŋ k
hegða	h ɛ ɣ ð a
hegðað	h ɛ ɣ ð a ð
hegðaði	h ɛ ɣ ð a ð ɪ
hegðun	h ɛ ɣ ð ʏ n
hegðunar	h ɛ ɣ ð ʏ n a r
hegðunarlegir	h ɛ ɣ ð ʏ n a r l ei j ɪ r
hegðuðu	h ɛ ɣ ð ʏ ð ʏ
heidfeld	h ei t f ɛ l t
heidi	h aiː t i
heiftarlegri	h ei f t a r l ɛ ɣ r ɪ
height	h aiː t
heights	h aiː t s
heil	h eiː l
heila	h eiː l a
heilabilun	h eiː l a p ɪ l ʏ n
heilablóðfall	h eiː l a p l ou ð f a t l̥
heilablóðfallsskaðaðra	h eiː l a p l ou ð f a t l s k a ð a ð r a
heilaga	h eiː l a ɣ a
heilagi	h eiː l ai j ɪ
heilagra	h eiː l a ɣ r a
heilags	h eiː l a x s
heilagt	h eiː l a x t
heilagur	h eiː l a ɣ ʏ r
heilahimnubólgu	h eiː l a h ɪ m n ʏ p ou l k ʏ
heilahristing	h eiː l a r̥ ɪ s t i ŋ k
heilahrörnun	h eiː l a r̥ œ r t n ʏ n
heilan	h eiː l a n
heilann	h eiː l a n
heilans	h eiː l a n s
heilanum	h eiː l a n ʏ m
heilar	h eiː l a r
heilasella	h eiː l a s ɛ l a
heilasellu	h eiː l a s ɛ l ʏ
heilasellum	h eiː l a s ɛ l ʏ m
heilasellunum	h eiː l a s ɛ l ɔ n ʏ m
heilasellur	h eiː l a s ɛ l ʏ r
heilasellurnar	h eiː l a s ɛ l ʏ r t n a r
heilaskaða	h eiː l a s k a ð a
heilasýni	h eiː l a s i n ɪ
heilbrigt	h eiː l p r ɪ x t
heilbrigð	h ei l p r ɪ ɣ ð
heilbrigða	h ei l p r ɪ ɣ ð a
heilbrigðan	h ei l p r ɪ ɣ ð a n
heilbrigðari	h ei l p r ɪ ɣ ð a r ɪ
heilbrigði	h ei l p r ɪ ð ɪ
heilbrigðir	h ei l p r ɪ ɣ ð ɪ r
heilbrigðis	h ei l p r ɪ ɣ ð ɪ s
heilbrigðiseftirlit	h ei l p r ɪ ɣ ð ɪ s ɛ f t ɪ r l ɪ t
heilbrigðiseftirliti	h ei l p r ɪ ɣ ð ɪ s ɛ f t ɪ r l ɪ t ɪ
heilbrigðiseftirlitið	h ei l p r ɪ ɣ ð ɪ s ɛ f t ɪ r l ɪ t ɪ ð
heilbrigðiseftirlits	h ei l p r ɪ ɣ ð ɪ s ɛ f t ɪ r l ɪ t s
heilbrigðisfulltrúa	h ei l p r ɪ ɣ ð ɪ s f ʏ t l̥ tʰ r u a
heilbrigðishugtökum	h ei l p r ɪ ɣ ð ɪ s h ʏ ɣ tʰ œ k ʏ m
heilbrigðiskerfi	h ei l p r ɪ ɣ ð ɪ s cʰ ɛ r v ɪ
heilbrigðiskerfinu	h ei l p r ɪ ɣ ð ɪ s cʰ ɛ r v ɪ n ʏ
heilbrigðiskerfisins	h ei l p r ɪ ɣ ð ɪ s cʰ ɛ r v ɪ s ɪ n s
heilbrigðiskerfið	h ei l p r ɪ ɣ ð ɪ s cʰ ɛ r v ɪ ð
heilbrigðismál	h ei l p r ɪ ɣ ð ɪ s m au l
heilbrigðismála	h ei l p r ɪ ɣ ð ɪ s m au l a
heilbrigðismálin	h ei l p r ɪ ɣ ð ɪ s m au l ɪ n
heilbrigðismálum	h ei l p r ɪ ɣ ð ɪ s m au l ʏ m
heilbrigðisnefnd	h ei l p r ɪ ɣ ð ɪ s t n ɛ m t
heilbrigðisnefndar	h ei l p r ɪ ɣ ð ɪ s t n ɛ m t a r
heilbrigðisráðherra	h ei l p r ɪ ɣ ð ɪ s r au θ h ɛ r a
heilbrigðisráðuneyti	h ei l p r ɪ ɣ ð ɪ s r au ð ʏ n ei t ɪ
heilbrigðisráðuneytinu	h ei l p r ɪ ɣ ð ɪ s r au ð ʏ n ei t ɪ n ʏ
heilbrigðisráðuneytisins	h ei l p r ɪ ɣ ð ɪ s r au ð ʏ n ei t ɪ s ɪ n s
heilbrigðisráðuneytið	h ei l p r ɪ ɣ ð ɪ s r au ð ʏ n ei t ɪ ð
heilbrigðisstarfsfólk	h ei l p r ɪ ɣ ð ɪ s t a r f s f ou l̥ k
heilbrigðisstarfsmanna	h ei l p r ɪ ɣ ð ɪ s t a r f s m a n a
heilbrigðisstarfsmenn	h ei l p r ɪ ɣ ð ɪ s t a r f s m ɛ n
heilbrigðisstofnana	h ei l p r ɪ ɣ ð ɪ s t ɔ p n a n a
heilbrigðisstofnanir	h ei l p r ɪ ɣ ð ɪ s t ɔ p n a n ɪ r
heilbrigðisstofnun	h ei l p r ɪ ɣ ð ɪ s t ɔ p n ʏ n
heilbrigðisstofnunar	h ei l p r ɪ ɣ ð ɪ s t ɔ p n ʏ n a r
heilbrigðisstofnunum	h ei l p r ɪ ɣ ð ɪ s t ɔ p n ʏ n ʏ m
heilbrigðisstétta	h ei l p r ɪ ɣ ð ɪ s t j ɛ h t a
heilbrigðissviði	h ei l p r ɪ ɣ ð ɪ s v ɪ ð ɪ
heilbrigðisvandamál	h ei l p r ɪ ɣ ð ɪ s v a n t a m au l
heilbrigðisvottorð	h ei l p r ɪ ɣ ð ɪ s v ɔ h t ɔ r ð
heilbrigðisyfirvalda	h ei l p r ɪ ɣ ð ɪ s ɪ v ɪ r v a l t a
heilbrigðisyfirvöld	h ei l p r ɪ ɣ ð ɪ s ɪ v ɪ r v œ l t
heilbrigðisþjónusta	h ei l p r ɪ ɣ ð ɪ s θ j ou n ʏ s t a
heilbrigðisþjónustu	h ei l p r ɪ ɣ ð ɪ s θ j ou n ʏ s t ʏ
heilbrigðisþjónustuna	h ei l p r ɪ ɣ ð ɪ s θ j ou n ʏ s t ʏ n a
heilbrigðisþjónustunnar	h ei l p r ɪ ɣ ð ɪ s θ j ou n ʏ s t ʏ n a r
heilbrigðisþjónustunni	h ei l p r ɪ ɣ ð ɪ s θ j ou n ʏ s t ʏ n ɪ
heilbrigðu	h ei l p r ɪ ɣ ð ʏ
heilbrigðum	h ei l p r ɪ ɣ ð ʏ m
heilbrigður	h ei l p r ɪ ɣ ð ʏ r
heild	h ei l t
heildar	h ei l t a r
heildarafla	h ei l t a r a p l a
heildarafli	h ei l t a r a p l ɪ
heildareignir	h ei l t a r ei k n ɪ r
heildarendurskoðun	h ei l t a r ɛ n t ʏ r̥ s k ɔ ð ʏ n
heildarfjárfesting	h ei l t a r̥ f j au r̥ f ɛ s t i ŋ k
heildarfjárhæð	h ei l t a r̥ f j au r̥ h ai ð
heildarfjölda	h ei l t a r f j œ l t a
heildarfjöldi	h ei l t a r̥ f j œ l t ɪ
heildarhlutafé	h ei l t a r l̥ ʏ t a f j ɛ
heildarinnar	h ei l t a r ɪ n a r
heildarkostnaður	h ei l t a r̥ kʰ ɔ s t n a ð ʏ r
heildarlaun	h ei l t a r l œy n
heildarmynd	h ei l t a r m ɪ n t
heildarmyndina	h ei l t a r m ɪ n t ɪ n a
heildarpakkann	h ei l t a r̥ pʰ a h k a n
heildarskipulag	h ei l t a r̥ s c ɪ p ʏ l a ɣ
heildarskuldir	h ei l t a r̥ s k ʏ l t ɪ r
heildarsýn	h ei l t a r̥ s i n
heildartekjum	h ei l t a r̥ tʰ ɛ c ʏ m
heildartekjur	h ei l t a r̥ tʰ ɛ c ʏ r
heildarupphæð	h ei l t a r ʏ h p h ai ð
heildarvelta	h ei l t a r v ɛ l̥ t a
heildarveltan	h ei l t a r v ɛ l̥ t a n
heildarverðmæti	h ei l t a r v ɛ r ð m ai t ɪ
heildarútgjöld	h ei l t a r u t c œ l t
heildina	h ei l t ɪ n a
heildinni	h ei l t ɪ n ɪ
heildsala	h ei l t s a l a
heildsalinn	h ei l t s a l ɪ n
heildstætt	h ei l t s t ai h t
heildstæð	h ei l t s t ai ð
heildstæða	h ei l t s t ai ð a
heildstæður	h ei l t s t ai ð ʏ r
heildsölu	h ei l t s œ l ʏ
heildsölufyrirtækinu	h ei l t s œ l ʏ f ɪ r ɪ r̥ tʰ ai c ɪ n ʏ
heili	h eiː l ɪ
heilindi	h eiː l ɪ n t ɪ
heilindum	h eiː l ɪ n t ʏ m
heilinn	h eiː l ɪ n
heilir	h eiː l ɪ r
heilkenni	h ei l cʰ ɛ n ɪ
heill	h ei t l̥
heilla	h ei t l a
heillandi	h ei t l a n t ɪ
heillar	h ei t l a r
heillast	h ei t l a s t
heillað	h ei t l a ð
heillaði	h ei t l a ð ɪ
heillaðist	h ei t l a ð ɪ s t
heillengi	h ei l ei ɲ c ɪ
heilli	h ei t l ɪ
heillin	h ei t l ɪ n
heilluðu	h ei t l ʏ ð ʏ
heilmargt	h ei l m a r̥ t
heilmikil	h ei l m ɪ c ɪ l
heilmikill	h ei l m ɪ c ɪ t l̥
heilmikið	h ei l m ɪ c ɪ ð
heilnæmt	h ei l n ai m̥ t
heils	h ei l s
heilsa	h ei l s a
heilsan	h ei l s a n
heilsast	h ei l s a s t
heilsaði	h ei l s a ð ɪ
heilshugar	h ei l s h ʏ ɣ a r
heilsteypt	h ei l s t ei f t
heilsteypta	h ei l s t ei f t a
heilsteyptur	h ei l s t ei f t ʏ r
heilsu	h ei l s ʏ
heilsubrests	h ei l s ʏ p r ɛ s t s
heilsufar	h ei l s ʏ f a r
heilsufari	h ei l s ʏ f a r ɪ
heilsufarssögu	h ei l s ʏ f a r̥ s œ ɣ ʏ
heilsufarsupplýsingum	h ei l s ʏ f a r̥ s ʏ h p l i s i ŋ k ʏ m
heilsugæsla	h ei l s ʏ c ai s t l a
heilsugæslan	h ei l s ʏ c ai s t l a n
heilsugæslu	h ei l s ʏ c ai s t l ʏ
heilsugæsluhjúkrunarfræðingum	h ei l s ʏ c ai s t l ʏ ç u k r ʏ n a r̥ f r ai ð i ŋ k ʏ m
heilsugæslulækna	h ei l s ʏ c ai s t l ʏ l ai h k n a
heilsugæsluna	h ei l s ʏ c ai s t l ʏ n a
heilsugæslunnar	h ei l s ʏ c ai s t l ʏ n a r
heilsugæslunni	h ei l s ʏ c ai s t l ʏ n ɪ
heilsugæslustöð	h ei l s ʏ c ai s t l ʏ s t œ ð
heilsugæslustöðva	h ei l s ʏ c ai s t l ʏ s t œ ð v a
heilsugæslustöðvar	h ei l s ʏ c ai s t l ʏ s t œ ð v a r
heilsugæslustöðvum	h ei l s ʏ c ai s t l ʏ s t œ ð v ʏ m
heilsugæsluumdæmin	h ei l s ʏ c ai s t l ʏ ʏ m t ai m ɪ n
heilsuna	h ei l s ʏ n a
heilsunni	h ei l s ʏ n ɪ
heilsuræktarstöðvum	h ei l s ʏ r ai x t a r̥ s t œ ð v ʏ m
heilsuspillandi	h ei l s ʏ s p ɪ t l a n t ɪ
heilsutjóni	h ei l s ʏ tʰ j ou n ɪ
heilsuvernd	h ei l s ʏ v ɛ r n t
heilsíðugrein	h ei l s i ð ʏ k r ei n
heilt	h ei l̥ t
heilu	h eiː l ʏ
heilum	h eiː l ʏ m
heilög	h eiː l œ ɣ
heim	h eiː m
heima	h eiː m a
heimabyggð	h eiː m a p ɪ ɣ ð
heimabæ	h eiː m a p ai
heimaey	h eiː m a ei
heimafólk	h eiː m a f ou l̥ k
heimahjúkrun	h eiː m a ç u k r ʏ n
heimahjúkrunar	h eiː m a ç u k r ʏ n a r
heimahöfn	h eiː m a h œ p n̥
heimahús	h eiː m a h u s
heimahúsi	h eiː m a h u s ɪ
heimahúsum	h eiː m a h u s ʏ m
heimakominn	h eiː m a kʰ ɔ m ɪ n
heimakonur	h eiː m a kʰ ɔ n ʏ r
heimakrókum	h eiː m a kʰ r ou k ʏ m
heimaland	h eiː m a l a n t
heimalandi	h eiː m a l a n t ɪ
heimalandinu	h eiː m a l a n t ɪ n ʏ
heimalands	h eiː m a l a n t s
heimalandsins	h eiː m a l a n t s ɪ n s
heimaleik	h eiː m a l ei k
heimaleiki	h eiː m a l ei c ɪ
heimaleikjum	h eiː m a l ei c ʏ m
heimaleikur	h eiː m a l ei k ʏ r
heimalyklar	h eiː m a l ɪ h k l a r
heimamanna	h eiː m a m a n a
heimamaður	h eiː m a m a ð ʏ r
heimamenn	h eiː m a m ɛ n
heimamönnum	h eiː m a m œ n ʏ m
heiman	h eiː m a n
heimangengt	h eiː m a n c ei ŋ̊ t
heimanmund	h eiː m a n m ʏ n t
heimasigur	h eiː m a s ɪ ɣ ʏ r
heimaslóðum	h eiː m a s t l ou ð ʏ m
heimastjórn	h eiː m a s t j ou r t n̥
heimastjórnarinnar	h eiː m a s t j ou r t n a r ɪ n a r
heimasvæði	h eiː m a s v ai ð ɪ
heimasíða	h eiː m a s i ð a
heimasíðu	h eiː m a s i ð ʏ
heimasíðum	h eiː m a s i ð ʏ m
heimasíðuna	h eiː m a s i ð ʏ n a
heimasíðunni	h eiː m a s i ð ʏ n ɪ
heimavelli	h eiː m a v ɛ t l ɪ
heimavinna	h eiː m a v ɪ n a
heimavinnandi	h eiː m a v ɪ n a n t ɪ
heimavist	h eiː m a v ɪ s t
heimavistarskóla	h eiː m a v ɪ s t a r̥ s k ou l a
heimavöll	h eiː m a v œ t l̥
heimavöllur	h eiː m a v œ t l ʏ r
heimavöllurinn	h eiː m a v œ t l ʏ r ɪ n
heimaþjónustu	h eiː m a θ j ou n ʏ s t ʏ
heimboð	h ei m p ɔ ð
heimdallar	h ei m t a t l a r
heimferð	h ei m f ɛ r ð
heimferðin	h ei m f ɛ r ð ɪ n
heimfluginu	h ei m f l ʏi j ɪ n ʏ
heimfæra	h ei m f ai r a
heimfært	h ei m f ai r̥ t
heimfærð	h ei m f ai r ð
heimi	h eiː m ɪ
heimil	h eiː m ɪ l
heimila	h eiː m ɪ l a
heimilanna	h eiː m ɪ l a n a
heimilar	h eiː m ɪ l a r
heimilað	h eiː m ɪ l a ð
heimilaði	h eiː m ɪ l a ð ɪ
heimild	h eiː m ɪ l t
heimilda	h eiː m ɪ l t a
heimildakönnun	h eiː m ɪ l t a kʰ œ n ʏ n
heimildamynd	h eiː m ɪ l t a m ɪ n t
heimildar	h eiː m ɪ l t a r
heimildarkvikmynd	h eiː m ɪ l t a r̥ kʰ v ɪ k m ɪ n t
heimildarleysi	h eiː m ɪ l t a r l ei s ɪ
heimildarmanna	h eiː m ɪ l t a r m a n a
heimildarmanni	h eiː m ɪ l t a r m a n ɪ
heimildarmaður	h eiː m ɪ l t a r m a ð ʏ r
heimildarmenn	h eiː m ɪ l t a r m ɛ n
heimildarmynd	h eiː m ɪ l t a r m ɪ n t
heimildarmyndin	h eiː m ɪ l t a r m ɪ n t ɪ n
heimildarmyndir	h eiː m ɪ l t a r m ɪ n t ɪ r
heimildarmönnum	h eiː m ɪ l t a r m œ n ʏ m
heimildarákvæði	h eiː m ɪ l t a r au kʰ v ai ð ɪ
heimildin	h eiː m ɪ l t ɪ n
heimildina	h eiː m ɪ l t ɪ n a
heimildir	h eiː m ɪ l t ɪ r
heimildirnar	h eiː m ɪ l t ɪ r t n a r
heimildum	h eiː m ɪ l t ʏ m
heimili	h eiː m ɪ l ɪ
heimilin	h eiː m ɪ l ɪ n
heimilinu	h eiː m ɪ l ɪ n ʏ
heimilis	h eiː m ɪ l ɪ s
heimilisfang	h eiː m ɪ l ɪ s f au ŋ k
heimilisfólk	h eiː m ɪ l ɪ s f ou l̥ k
heimilisfólkið	h eiː m ɪ l ɪ s f ou l̥ c ɪ ð
heimilisfólksins	h eiː m ɪ l ɪ s f ou l̥ k s ɪ n s
heimilisföng	h eiː m ɪ l ɪ s f œy ŋ k
heimilisins	h eiː m ɪ l ɪ s ɪ n s
heimilislækna	h eiː m ɪ l ɪ s t l ai h k n a
heimilislæknar	h eiː m ɪ l ɪ s t l ai h k n a r
heimilislækni	h eiː m ɪ l ɪ s t l ai h k n ɪ
heimilislækningum	h eiː m ɪ l ɪ s t l ai h k n i ŋ k ʏ m
heimilislæknir	h eiː m ɪ l ɪ s t l ai h k n ɪ r
heimilislæknum	h eiː m ɪ l ɪ s t l ai h k n ʏ m
heimilisofbeldi	h eiː m ɪ l ɪ s ɔ v p ɛ l t ɪ
heimilisofbeldis	h eiː m ɪ l ɪ s ɔ v p ɛ l t ɪ s
heimilisuppbót	h eiː m ɪ l ɪ s ʏ h p ou t
heimilið	h eiː m ɪ l ɪ ð
heimill	h eiː m ɪ t l̥
heimilt	h eiː m ɪ l̥ t
heimilum	h eiː m ɪ l ʏ m
heimilunum	h eiː m ɪ l ɔ n ʏ m
heimiluð	h eiː m ɪ l ʏ ð
heiminn	h eiː m ɪ n
heiminum	h eiː m ɪ n ʏ m
heimir	h eiː m ɪ r
heimis	h eiː m ɪ s
heimisdóttir	h eiː m ɪ s t ou h t ɪ r
heimisson	h eiː m ɪ s ɔ n
heimkomu	h ei m kʰ ɔ m ʏ
heimkomuna	h ei m kʰ ɔ m ʏ n a
heimkynna	h ei m cʰ ɪ n a
heimkynni	h ei m cʰ ɪ n ɪ
heimkynnum	h ei m cʰ ɪ n ʏ m
heimleið	h ei m l ei ð
heims	h ei m s
heimsathygli	h ei m s a t ɪ k l ɪ
heimsbyggðarinnar	h ei m s p ɪ ɣ ð a r ɪ n a r
heimsbyggðin	h ei m s p ɪ ɣ ð ɪ n
heimsbyggðina	h ei m s p ɪ ɣ ð ɪ n a
heimsbyggðinni	h ei m s p ɪ ɣ ð ɪ n ɪ
heimsendingu	h ei m s ɛ n t i ŋ k ʏ
heimsfengs	h ei m s f ei ŋ s
heimshluta	h ei m s l̥ ʏ t a
heimshornum	h ei m s h ɔ r t n ʏ m
heimsins	h ei m s ɪ n s
heimska	h ei m s k a
heimskautsbaugurinn	h ei m s k œy t s p œy ɣ ʏ r ɪ n
heimskingi	h ei m s c i ɲ c ɪ
heimsklassa	h ei m s kʰ l a s a
heimskringla	h ei m s kʰ r i ŋ l a
heimskringlu	h ei m s kʰ r i ŋ l ʏ
heimskringlunni	h ei m s kʰ r i ŋ l ʏ n ɪ
heimskulegt	h ei m s k ʏ l ɛ x t
heimslista	h ei m s t l ɪ s t a
heimslistans	h ei m s t l ɪ s t a n s
heimslistanum	h ei m s t l ɪ s t a n ʏ m
heimsmarkaði	h ei m s m a r̥ k a ð ɪ
heimsmarkaðsverð	h ei m s m a r̥ k a ð s v ɛ r ð
heimsmarkaðsverði	h ei m s m a r̥ k a ð s v ɛ r ð ɪ
heimsmaður	h ei m s m a ð ʏ r
heimsmeistara	h ei m s m ei s t a r a
heimsmeistarakeppni	h ei m s m ei s t a r a cʰ ɛ h p n ɪ
heimsmeistarakeppnin	h ei m s m ei s t a r a cʰ ɛ h p n ɪ n
heimsmeistarakeppnina	h ei m s m ei s t a r a cʰ ɛ h p n ɪ n a
heimsmeistarakeppninnar	h ei m s m ei s t a r a cʰ ɛ h p n ɪ n a r
heimsmeistarakeppninni	h ei m s m ei s t a r a cʰ ɛ h p n ɪ n ɪ
heimsmeistaramót	h ei m s m ei s t a r a m ou t
heimsmeistaramóti	h ei m s m ei s t a r a m ou t ɪ
heimsmeistaramótinu	h ei m s m ei s t a r a m ou t ɪ n ʏ
heimsmeistaramótið	h ei m s m ei s t a r a m ou t ɪ ð
heimsmeistaramótsins	h ei m s m ei s t a r a m ou t s ɪ n s
heimsmeistarar	h ei m s m ei s t a r a r
heimsmeistaratitil	h ei m s m ei s t a r a tʰ ɪ t ɪ l
heimsmeistaratitilinn	h ei m s m ei s t a r a tʰ ɪ t ɪ l ɪ n
heimsmeistari	h ei m s m ei s t a r ɪ
heimsmeistarinn	h ei m s m ei s t a r ɪ n
heimsmet	h ei m s m ɛ t
heimsmetið	h ei m s m ɛ t ɪ ð
heimsminjaskrá	h ei m s m ɪ n j a s k r au
heimsmynd	h ei m s m ɪ n t
heimsmælikvarða	h ei m s m ai l ɪ kʰ v a r ð a
heimspeki	h ei m s p ɛ c ɪ
heimspekideild	h ei m s p ɛ c ɪ t ei l t
heimspekilegi	h ei m s p ɛ c ɪ l ei j ɪ
heimspekilegur	h ei m s p ɛ c ɪ l ɛ ɣ ʏ r
heimspekinga	h ei m s p ɛ c i ŋ k a
heimspekingar	h ei m s p ɛ c i ŋ k a r
heimspekingsins	h ei m s p ɛ c i ŋ s ɪ n s
heimspekingur	h ei m s p ɛ c i ŋ k ʏ r
heimsstyrjaldar	h ei m s t ɪ r j a l t a r
heimsstyrjaldarinnar	h ei m s t ɪ r j a l t a r ɪ n a r
heimsstyrjöld	h ei m s t ɪ r j œ l t
heimsstyrjöldin	h ei m s t ɪ r j œ l t ɪ n
heimsstyrjöldina	h ei m s t ɪ r j œ l t ɪ n a
heimsstyrjöldinni	h ei m s t ɪ r j œ l t ɪ n ɪ
heimssýningunni	h ei m s i n i ŋ k ʏ n ɪ
heimsvaldastefna	h ei m s v a l t a s t ɛ p n a
heimsveldi	h ei m s v ɛ l t ɪ
heimsvísu	h ei m s v i s ʏ
heimsálfa	h ei m s au l v a
heimsálfum	h ei m s au l v ʏ m
heimsæki	h ei m s ai c ɪ
heimsækir	h ei m s ai c ɪ r
heimsækja	h ei m s ai c a
heimsókn	h ei m s ou h k n̥
heimsókna	h ei m s ou h k n a
heimsóknar	h ei m s ou h k n a r
heimsóknartímar	h ei m s ou h k n a r̥ tʰ i m a r
heimsóknin	h ei m s ou h k n ɪ n
heimsóknina	h ei m s ou h k n ɪ n a
heimsókninni	h ei m s ou h k n ɪ n ɪ
heimsóknir	h ei m s ou h k n ɪ r
heimsóknirnar	h ei m s ou h k n ɪ r t n a r
heimsóknum	h ei m s ou h k n ʏ m
heimsótt	h ei m s ou h t
heimsótti	h ei m s ou h t ɪ
heimsóttu	h ei m s ou h t ʏ
heimsóttum	h ei m s ou h t ʏ m
heimta	h ei m̥ t a
heimtar	h ei m̥ t a r
heimtaugar	h ei m tʰ œy ɣ a r
heimtaugargjald	h ei m tʰ œy ɣ a r̥ c a l t
heimtað	h ei m̥ t a ð
heimtaði	h ei m̥ t a ð ɪ
heimtingu	h ei m̥ t i ŋ k ʏ
heimtu	h ei m̥ t ʏ
heimtuðu	h ei m̥ t ʏ ð ʏ
heimur	h eiː m ʏ r
heimurinn	h eiː m ʏ r ɪ n
heit	h eiː t
heita	h eiː t a
heitan	h eiː t a n
heitar	h eiː t a r
heitasta	h eiː t a s t a
heiti	h eiː t ɪ
heitin	h eiː t ɪ n
heitinn	h eiː t ɪ n
heitins	h eiː t ɪ n s
heitinu	h eiː t ɪ n ʏ
heitir	h eiː t ɪ r
heitið	h eiː t ɪ ð
heitnum	h ei h t n ʏ m
heitri	h eiː t r ɪ
heitt	h ei h t
heitu	h eiː t ʏ
heitum	h eiː t ʏ m
heitur	h eiː t ʏ r
heiða	h eiː ð a
heiðan	h eiː ð a n
heiðar	h eiː ð a r
heiðari	h eiː ð a r ɪ
heiðarleg	h eiː ð a r l ɛ ɣ
heiðarlega	h eiː ð a r l ɛ ɣ a
heiðarlegir	h eiː ð a r l ei j ɪ r
heiðarlegri	h eiː ð a r l ɛ ɣ r ɪ
heiðarlegt	h eiː ð a r l ɛ x t
heiðarlegur	h eiː ð a r l ɛ ɣ ʏ r
heiðarleika	h eiː ð a r l ei k a
heiðarleiki	h eiː ð a r l ei c ɪ
heiðars	h eiː ð a r̥ s
heiðarskóla	h eiː ð a r̥ s k ou l a
heiðdís	h ei ð t i s
heiði	h eiː ð ɪ
heiðina	h eiː ð ɪ n a
heiðingjar	h eiː ð i ɲ c a r
heiðinni	h eiː ð ɪ n ɪ
heiðmörk	h ei ð m œ r̥ k
heiðni	h ei ð n ɪ
heiðra	h ei ð r a
heiðraður	h ei ð r a ð ʏ r
heiðri	h ei ð r ɪ
heiðríkja	h ei ð r i c a
heiðríkju	h ei ð r i c ʏ
